User_id,Date,itemDescription,year,month,day,day_of_week
2020,2014-01-02,fruit/vegetable juice,2014,1,2,3
2472,2014-01-02,other vegetables,2014,1,2,3
4408,2014-01-02,pip fruit,2014,1,2,3
3538,2014-01-02,yogurt,2014,1,2,3
4860,2014-01-02,sugar,2014,1,2,3
1265,2014-01-02,other vegetables,2014,1,2,3
1528,2014-01-02,frozen vegetables,2014,1,2,3
2020,2014-01-02,beef,2014,1,2,3
3538,2014-01-02,waffles,2014,1,2,3
4450,2014-01-02,beef,2014,1,2,3
2828,2014-01-02,meat,2014,1,2,3
3641,2014-01-02,root vegetables,2014,1,2,3
2311,2014-01-02,pastry,2014,1,2,3
3178,2014-01-02,butter,2014,1,2,3
4364,2014-01-02,brown bread,2014,1,2,3
1814,2014-01-02,frankfurter,2014,1,2,3
4666,2014-01-02,frozen vegetables,2014,1,2,3
1066,2014-01-02,root vegetables,2014,1,2,3
1528,2014-01-02,tropical fruit,2014,1,2,3
4860,2014-01-02,cream cheese ,2014,1,2,3
1814,2014-01-02,sparkling wine,2014,1,2,3
4408,2014-01-02,frozen fish,2014,1,2,3
2472,2014-01-02,white bread,2014,1,2,3
1265,2014-01-02,whole milk,2014,1,2,3
2480,2014-01-02,citrus fruit,2014,1,2,3
1248,2014-01-02,chicken,2014,1,2,3
4907,2014-01-02,rolls/buns,2014,1,2,3
4014,2014-01-02,soda,2014,1,2,3
4847,2014-01-02,soda,2014,1,2,3
3130,2014-01-02,ice cream,2014,1,2,3
1171,2014-01-03,whipped/sour cream,2014,1,3,4
2538,2014-01-03,pastry,2014,1,3,4
1899,2014-01-03,brown bread,2014,1,3,4
2991,2014-01-03,soda,2014,1,3,4
3698,2014-01-03,shopping bags,2014,1,3,4
3227,2014-01-03,cat food,2014,1,3,4
4249,2014-01-03,shopping bags,2014,1,3,4
1253,2014-01-03,liqueur,2014,1,3,4
2991,2014-01-03,waffles,2014,1,3,4
3831,2014-01-03,bottled water,2014,1,3,4
4280,2014-01-03,margarine,2014,1,3,4
4520,2014-01-03,mustard,2014,1,3,4
4280,2014-01-03,specialty chocolate,2014,1,3,4
2459,2014-01-03,curd,2014,1,3,4
2963,2014-01-03,pickled vegetables,2014,1,3,4
2480,2014-01-03,soda,2014,1,3,4
3197,2014-01-03,margarine,2014,1,3,4
3227,2014-01-03,seasonal products,2014,1,3,4
4520,2014-01-03,brown bread,2014,1,3,4
1529,2014-01-03,soups,2014,1,3,4
2459,2014-01-03,whipped/sour cream,2014,1,3,4
2963,2014-01-03,bottled water,2014,1,3,4
3831,2014-01-03,whipped/sour cream,2014,1,3,4
4382,2014-01-03,spices,2014,1,3,4
1529,2014-01-03,preservation products,2014,1,3,4
3294,2014-01-03,other vegetables,2014,1,3,4
4440,2014-01-03,newspapers,2014,1,3,4
4335,2014-01-03,canned beer,2014,1,3,4
3197,2014-01-03,sausage,2014,1,3,4
3761,2014-01-03,meat,2014,1,3,4
2910,2014-01-03,sugar,2014,1,3,4
2065,2014-01-03,sausage,2014,1,3,4
3313,2014-01-03,bottled beer,2014,1,3,4
4335,2014-01-03,whole milk,2014,1,3,4
2480,2014-01-03,salty snack,2014,1,3,4
3294,2014-01-03,root vegetables,2014,1,3,4
4382,2014-01-03,fruit/vegetable juice,2014,1,3,4
3831,2014-01-03,soda,2014,1,3,4
1253,2014-01-03,pastry,2014,1,3,4
4249,2014-01-03,canned beer,2014,1,3,4
3698,2014-01-03,yogurt,2014,1,3,4
2480,2014-01-03,other vegetables,2014,1,3,4
3227,2014-01-03,spices,2014,1,3,4
4440,2014-01-03,butter milk,2014,1,3,4
3313,2014-01-03,hard cheese,2014,1,3,4
2065,2014-01-03,white bread,2014,1,3,4
2910,2014-01-03,processed cheese,2014,1,3,4
3197,2014-01-03,margarine,2014,1,3,4
3761,2014-01-03,domestic eggs,2014,1,3,4
1171,2014-01-03,soda,2014,1,3,4
2538,2014-01-03,berries,2014,1,3,4
1899,2014-01-03,other vegetables,2014,1,3,4
2991,2014-01-03,root vegetables,2014,1,3,4
4280,2014-01-03,soda,2014,1,3,4
3382,2014-01-04,yogurt,2014,1,4,5
1165,2014-01-04,house keeping products,2014,1,4,5
2185,2014-01-04,flour,2014,1,4,5
2477,2014-01-04,soda,2014,1,4,5
3133,2014-01-04,yogurt,2014,1,4,5
2760,2014-01-04,domestic eggs,2014,1,4,5
4157,2014-01-04,frozen meals,2014,1,4,5
3007,2014-01-04,yogurt,2014,1,4,5
1500,2014-01-04,fruit/vegetable juice,2014,1,4,5
2428,2014-01-04,soda,2014,1,4,5
4799,2014-01-04,frozen fish,2014,1,4,5
4726,2014-01-04,whole milk,2014,1,4,5
3765,2014-01-04,whole milk,2014,1,4,5
3077,2014-01-04,domestic eggs,2014,1,4,5
2138,2014-01-04,white bread,2014,1,4,5
2138,2014-01-04,seasonal products,2014,1,4,5
1545,2014-01-04,brown bread,2014,1,4,5
2641,2014-01-04,brown bread,2014,1,4,5
3765,2014-01-04,margarine,2014,1,4,5
2760,2014-01-04,rolls/buns,2014,1,4,5
3382,2014-01-04,bottled beer,2014,1,4,5
2092,2014-01-04,canned fish,2014,1,4,5
4758,2014-01-04,white bread,2014,1,4,5
3765,2014-01-04,bottled beer,2014,1,4,5
2760,2014-01-04,long life bakery product,2014,1,4,5
3382,2014-01-04,pastry,2014,1,4,5
4758,2014-01-04,bottled beer,2014,1,4,5
1545,2014-01-04,hair spray,2014,1,4,5
2641,2014-01-04,male cosmetics,2014,1,4,5
2535,2014-01-04,rolls/buns,2014,1,4,5
4745,2014-01-04,soda,2014,1,4,5
3284,2014-01-04,coffee,2014,1,4,5
2925,2014-01-04,oil,2014,1,4,5
3830,2014-01-04,domestic eggs,2014,1,4,5
1883,2014-01-04,frankfurter,2014,1,4,5
1616,2014-01-04,frankfurter,2014,1,4,5
4204,2014-01-04,pastry,2014,1,4,5
2092,2014-01-04,salty snack,2014,1,4,5
2925,2014-01-04,male cosmetics,2014,1,4,5
3830,2014-01-04,margarine,2014,1,4,5
4745,2014-01-04,cat food,2014,1,4,5
4758,2014-01-04,rolls/buns,2014,1,4,5
4726,2014-01-04,rolls/buns,2014,1,4,5
4157,2014-01-04,salty snack,2014,1,4,5
4799,2014-01-04,dessert,2014,1,4,5
2428,2014-01-04,whole milk,2014,1,4,5
1500,2014-01-04,bottled beer,2014,1,4,5
3007,2014-01-04,rolls/buns,2014,1,4,5
2809,2014-01-04,bottled beer,2014,1,4,5
2760,2014-01-04,whole milk,2014,1,4,5
2809,2014-01-04,berries,2014,1,4,5
3765,2014-01-04,tropical fruit,2014,1,4,5
2092,2014-01-04,salty snack,2014,1,4,5
4204,2014-01-04,white bread,2014,1,4,5
1883,2014-01-04,whole milk,2014,1,4,5
2535,2014-01-04,sausage,2014,1,4,5
1616,2014-01-04,prosecco,2014,1,4,5
3284,2014-01-04,canned fish,2014,1,4,5
3133,2014-01-04,whipped/sour cream,2014,1,4,5
1165,2014-01-04,beef,2014,1,4,5
2185,2014-01-04,rolls/buns,2014,1,4,5
2477,2014-01-04,root vegetables,2014,1,4,5
3382,2014-01-04,cat food,2014,1,4,5
3077,2014-01-04,root vegetables,2014,1,4,5
4943,2014-01-05,other vegetables,2014,1,5,6
4879,2014-01-05,fruit/vegetable juice,2014,1,5,6
1147,2014-01-05,whole milk,2014,1,5,6
1544,2014-01-05,semi-finished bread,2014,1,5,6
2470,2014-01-05,white bread,2014,1,5,6
4574,2014-01-05,other vegetables,2014,1,5,6
4747,2014-01-05,pastry,2014,1,5,6
1473,2014-01-05,rolls/buns,2014,1,5,6
4721,2014-01-05,cream cheese ,2014,1,5,6
4574,2014-01-05,bottled water,2014,1,5,6
1004,2014-01-05,dish cleaner,2014,1,5,6
1897,2014-01-05,cream cheese ,2014,1,5,6
4628,2014-01-05,napkins,2014,1,5,6
1544,2014-01-05,shopping bags,2014,1,5,6
2470,2014-01-05,red/blush wine,2014,1,5,6
4721,2014-01-05,semi-finished bread,2014,1,5,6
2051,2014-01-05,cream cheese ,2014,1,5,6
1004,2014-01-05,cling film/bags,2014,1,5,6
1897,2014-01-05,rolls/buns,2014,1,5,6
3864,2014-01-05,cooking chocolate,2014,1,5,6
2051,2014-01-05,flour,2014,1,5,6
2040,2014-01-05,packaged fruit/vegetables,2014,1,5,6
4747,2014-01-05,tropical fruit,2014,1,5,6
4609,2014-01-05,spices,2014,1,5,6
2565,2014-01-05,sausage,2014,1,5,6
2674,2014-01-05,root vegetables,2014,1,5,6
4456,2014-01-05,soda,2014,1,5,6
4628,2014-01-05,whole milk,2014,1,5,6
4609,2014-01-05,beef,2014,1,5,6
4456,2014-01-05,specialty bar,2014,1,5,6
2040,2014-01-05,rolls/buns,2014,1,5,6
3864,2014-01-05,other vegetables,2014,1,5,6
4943,2014-01-05,finished products,2014,1,5,6
4567,2014-01-05,whipped/sour cream,2014,1,5,6
1544,2014-01-05,other vegetables,2014,1,5,6
2470,2014-01-05,tropical fruit,2014,1,5,6
4574,2014-01-05,seasonal products,2014,1,5,6
1473,2014-01-05,hamburger meat,2014,1,5,6
4879,2014-01-05,dessert,2014,1,5,6
2565,2014-01-05,sliced cheese,2014,1,5,6
2674,2014-01-05,butter,2014,1,5,6
4567,2014-01-05,red/blush wine,2014,1,5,6
4628,2014-01-05,napkins,2014,1,5,6
1147,2014-01-05,soda,2014,1,5,6
4872,2014-01-06,softener,2014,1,6,0
1879,2014-01-06,sugar,2014,1,6,0
3963,2014-01-06,domestic eggs,2014,1,6,0
2379,2014-01-06,brown bread,2014,1,6,0
4694,2014-01-06,whipped/sour cream,2014,1,6,0
2881,2014-01-06,butter milk,2014,1,6,0
4872,2014-01-06,soda,2014,1,6,0
2259,2014-01-06,processed cheese,2014,1,6,0
4872,2014-01-06,domestic eggs,2014,1,6,0
2949,2014-01-06,shopping bags,2014,1,6,0
1863,2014-01-06,bottled water,2014,1,6,0
2259,2014-01-06,roll products ,2014,1,6,0
4694,2014-01-06,whipped/sour cream,2014,1,6,0
1863,2014-01-06,seasonal products,2014,1,6,0
4221,2014-01-06,frozen meals,2014,1,6,0
2881,2014-01-06,canned vegetables,2014,1,6,0
3111,2014-01-06,UHT-milk,2014,1,6,0
2949,2014-01-06,pork,2014,1,6,0
1863,2014-01-06,newspapers,2014,1,6,0
2093,2014-01-06,napkins,2014,1,6,0
3111,2014-01-06,oil,2014,1,6,0
1863,2014-01-06,bottled beer,2014,1,6,0
4221,2014-01-06,bottled water,2014,1,6,0
4694,2014-01-06,tropical fruit,2014,1,6,0
1590,2014-01-06,citrus fruit,2014,1,6,0
1879,2014-01-06,whole milk,2014,1,6,0
3963,2014-01-06,candy,2014,1,6,0
2379,2014-01-06,berries,2014,1,6,0
1590,2014-01-06,newspapers,2014,1,6,0
2949,2014-01-06,other vegetables,2014,1,6,0
2093,2014-01-06,canned vegetables,2014,1,6,0
4872,2014-01-06,whole milk,2014,1,6,0
1456,2014-01-07,hygiene articles,2014,1,7,1
4270,2014-01-07,whole milk,2014,1,7,1
4870,2014-01-07,bottled water,2014,1,7,1
4251,2014-01-07,ice cream,2014,1,7,1
3232,2014-01-07,soda,2014,1,7,1
1770,2014-01-07,mayonnaise,2014,1,7,1
3498,2014-01-07,root vegetables,2014,1,7,1
2035,2014-01-07,rice,2014,1,7,1
4721,2014-01-07,processed cheese,2014,1,7,1
4251,2014-01-07,rolls/buns,2014,1,7,1
3189,2014-01-07,fruit/vegetable juice,2014,1,7,1
4721,2014-01-07,specialty bar,2014,1,7,1
2035,2014-01-07,jam,2014,1,7,1
1004,2014-01-07,frozen fish,2014,1,7,1
3189,2014-01-07,dish cleaner,2014,1,7,1
3762,2014-01-07,newspapers,2014,1,7,1
4306,2014-01-07,misc. beverages,2014,1,7,1
4082,2014-01-07,yogurt,2014,1,7,1
1317,2014-01-07,onions,2014,1,7,1
4594,2014-01-07,other vegetables,2014,1,7,1
4082,2014-01-07,ham,2014,1,7,1
3762,2014-01-07,sliced cheese,2014,1,7,1
1004,2014-01-07,canned beer,2014,1,7,1
1456,2014-01-07,liquor,2014,1,7,1
4270,2014-01-07,nut snack,2014,1,7,1
1317,2014-01-07,specialty cheese,2014,1,7,1
4870,2014-01-07,soda,2014,1,7,1
4251,2014-01-07,root vegetables,2014,1,7,1
3232,2014-01-07,dessert,2014,1,7,1
1770,2014-01-07,butter,2014,1,7,1
3498,2014-01-07,pip fruit,2014,1,7,1
4306,2014-01-07,cream cheese ,2014,1,7,1
4594,2014-01-07,tropical fruit,2014,1,7,1
3722,2014-01-08,whole milk,2014,1,8,2
2933,2014-01-08,seasonal products,2014,1,8,2
4376,2014-01-08,cereals,2014,1,8,2
4375,2014-01-08,domestic eggs,2014,1,8,2
4933,2014-01-08,root vegetables,2014,1,8,2
3841,2014-01-08,brown bread,2014,1,8,2
3694,2014-01-08,dessert,2014,1,8,2
2399,2014-01-08,chocolate,2014,1,8,2
3524,2014-01-08,semi-finished bread,2014,1,8,2
4130,2014-01-08,newspapers,2014,1,8,2
3628,2014-01-08,nut snack,2014,1,8,2
3628,2014-01-08,female sanitary products,2014,1,8,2
3882,2014-01-08,hard cheese,2014,1,8,2
1759,2014-01-08,dog food,2014,1,8,2
3628,2014-01-08,chocolate marshmallow,2014,1,8,2
1291,2014-01-08,mustard,2014,1,8,2
3628,2014-01-08,yogurt,2014,1,8,2
1291,2014-01-08,rolls/buns,2014,1,8,2
2834,2014-01-08,shopping bags,2014,1,8,2
3882,2014-01-08,sweet spreads,2014,1,8,2
3694,2014-01-08,dish cleaner,2014,1,8,2
1291,2014-01-08,sugar,2014,1,8,2
2834,2014-01-08,sliced cheese,2014,1,8,2
3628,2014-01-08,cream cheese ,2014,1,8,2
4376,2014-01-08,pork,2014,1,8,2
1417,2014-01-08,frozen meals,2014,1,8,2
1759,2014-01-08,newspapers,2014,1,8,2
3322,2014-01-08,pip fruit,2014,1,8,2
3524,2014-01-08,frozen meals,2014,1,8,2
4130,2014-01-08,root vegetables,2014,1,8,2
3172,2014-01-08,whole milk,2014,1,8,2
3911,2014-01-08,other vegetables,2014,1,8,2
1759,2014-01-08,pet care,2014,1,8,2
3628,2014-01-08,curd,2014,1,8,2
1291,2014-01-08,onions,2014,1,8,2
2399,2014-01-08,citrus fruit,2014,1,8,2
3694,2014-01-08,whole milk,2014,1,8,2
1417,2014-01-08,yogurt,2014,1,8,2
3841,2014-01-08,specialty cheese,2014,1,8,2
3911,2014-01-08,margarine,2014,1,8,2
4933,2014-01-08,whole milk,2014,1,8,2
3172,2014-01-08,newspapers,2014,1,8,2
4130,2014-01-08,canned beer,2014,1,8,2
3322,2014-01-08,soda,2014,1,8,2
3524,2014-01-08,margarine,2014,1,8,2
2933,2014-01-08,soda,2014,1,8,2
4375,2014-01-08,chicken,2014,1,8,2
4130,2014-01-08,semi-finished bread,2014,1,8,2
3722,2014-01-08,syrup,2014,1,8,2
1284,2014-01-09,salty snack,2014,1,9,3
1587,2014-01-09,skin care,2014,1,9,3
3957,2014-01-09,salty snack,2014,1,9,3
4523,2014-01-09,domestic eggs,2014,1,9,3
4938,2014-01-09,dessert,2014,1,9,3
3475,2014-01-09,canned fish,2014,1,9,3
3863,2014-01-09,frozen dessert,2014,1,9,3
4277,2014-01-09,butter,2014,1,9,3
4559,2014-01-09,frozen vegetables,2014,1,9,3
4432,2014-01-09,butter,2014,1,9,3
2591,2014-01-09,soda,2014,1,9,3
3219,2014-01-09,waffles,2014,1,9,3
4201,2014-01-09,whipped/sour cream,2014,1,9,3
1832,2014-01-09,spread cheese,2014,1,9,3
3846,2014-01-09,dental care,2014,1,9,3
3846,2014-01-09,canned vegetables,2014,1,9,3
4559,2014-01-09,frozen vegetables,2014,1,9,3
3407,2014-01-09,bottled beer,2014,1,9,3
1374,2014-01-09,cream cheese ,2014,1,9,3
2528,2014-01-09,butter,2014,1,9,3
2765,2014-01-09,whipped/sour cream,2014,1,9,3
2515,2014-01-09,yogurt,2014,1,9,3
3382,2014-01-09,rolls/buns,2014,1,9,3
3863,2014-01-09,shopping bags,2014,1,9,3
1284,2014-01-09,soups,2014,1,9,3
2591,2014-01-09,beverages,2014,1,9,3
1832,2014-01-09,specialty chocolate,2014,1,9,3
2675,2014-01-09,cling film/bags,2014,1,9,3
1827,2014-01-09,pastry,2014,1,9,3
2675,2014-01-09,UHT-milk,2014,1,9,3
4342,2014-01-09,whole milk,2014,1,9,3
3957,2014-01-09,newspapers,2014,1,9,3
3142,2014-01-09,cream cheese ,2014,1,9,3
2927,2014-01-09,popcorn,2014,1,9,3
2666,2014-01-09,root vegetables,2014,1,9,3
2528,2014-01-09,sausage,2014,1,9,3
2765,2014-01-09,herbs,2014,1,9,3
2515,2014-01-09,misc. beverages,2014,1,9,3
3382,2014-01-09,candy,2014,1,9,3
3407,2014-01-09,bottled water,2014,1,9,3
1374,2014-01-09,sugar,2014,1,9,3
3142,2014-01-09,pasta,2014,1,9,3
2927,2014-01-09,packaged fruit/vegetables,2014,1,9,3
4342,2014-01-09,ham,2014,1,9,3
1827,2014-01-09,soda,2014,1,9,3
3219,2014-01-09,tropical fruit,2014,1,9,3
4432,2014-01-09,root vegetables,2014,1,9,3
3863,2014-01-09,turkey,2014,1,9,3
4104,2014-01-09,white wine,2014,1,9,3
4277,2014-01-09,pip fruit,2014,1,9,3
4559,2014-01-09,rolls/buns,2014,1,9,3
3407,2014-01-09,cream cheese ,2014,1,9,3
3382,2014-01-09,tropical fruit,2014,1,9,3
2515,2014-01-09,shopping bags,2014,1,9,3
2765,2014-01-09,grapes,2014,1,9,3
2528,2014-01-09,soda,2014,1,9,3
1374,2014-01-09,bottled water,2014,1,9,3
4104,2014-01-09,coffee,2014,1,9,3
4523,2014-01-09,specialty chocolate,2014,1,9,3
4938,2014-01-09,brown bread,2014,1,9,3
1587,2014-01-09,hygiene articles,2014,1,9,3
3475,2014-01-09,whole milk,2014,1,9,3
4201,2014-01-09,pip fruit,2014,1,9,3
2666,2014-01-09,UHT-milk,2014,1,9,3
1738,2014-01-10,rolls/buns,2014,1,10,4
4797,2014-01-10,rolls/buns,2014,1,10,4
2232,2014-01-10,flour,2014,1,10,4
2453,2014-01-10,napkins,2014,1,10,4
4234,2014-01-10,beverages,2014,1,10,4
4900,2014-01-10,root vegetables,2014,1,10,4
2243,2014-01-10,tropical fruit,2014,1,10,4
1910,2014-01-10,sugar,2014,1,10,4
4501,2014-01-10,processed cheese,2014,1,10,4
1442,2014-01-10,candles,2014,1,10,4
3617,2014-01-10,misc. beverages,2014,1,10,4
4060,2014-01-10,domestic eggs,2014,1,10,4
3462,2014-01-10,other vegetables,2014,1,10,4
2138,2014-01-10,bottled water,2014,1,10,4
1694,2014-01-10,long life bakery product,2014,1,10,4
3462,2014-01-10,dessert,2014,1,10,4
4234,2014-01-10,pastry,2014,1,10,4
2453,2014-01-10,sugar,2014,1,10,4
1694,2014-01-10,rolls/buns,2014,1,10,4
3119,2014-01-10,whole milk,2014,1,10,4
3119,2014-01-10,yogurt,2014,1,10,4
1664,2014-01-10,soda,2014,1,10,4
2243,2014-01-10,candles,2014,1,10,4
3462,2014-01-10,bottled beer,2014,1,10,4
4234,2014-01-10,napkins,2014,1,10,4
2138,2014-01-10,whisky,2014,1,10,4
4060,2014-01-10,napkins,2014,1,10,4
3687,2014-01-10,other vegetables,2014,1,10,4
2243,2014-01-10,yogurt,2014,1,10,4
1018,2014-01-10,long life bakery product,2014,1,10,4
1738,2014-01-10,yogurt,2014,1,10,4
1548,2014-01-10,bottled beer,2014,1,10,4
1664,2014-01-10,rolls/buns,2014,1,10,4
3617,2014-01-10,liquor (appetizer),2014,1,10,4
3709,2014-01-10,pastry,2014,1,10,4
4749,2014-01-10,finished products,2014,1,10,4
1694,2014-01-10,tropical fruit,2014,1,10,4
3119,2014-01-10,meat,2014,1,10,4
4300,2014-01-10,yogurt,2014,1,10,4
4300,2014-01-10,citrus fruit,2014,1,10,4
1018,2014-01-10,curd,2014,1,10,4
3687,2014-01-10,rolls/buns,2014,1,10,4
4060,2014-01-10,other vegetables,2014,1,10,4
1442,2014-01-10,specialty bar,2014,1,10,4
4501,2014-01-10,brown bread,2014,1,10,4
1910,2014-01-10,sliced cheese,2014,1,10,4
1548,2014-01-10,long life bakery product,2014,1,10,4
2243,2014-01-10,meat,2014,1,10,4
4900,2014-01-10,whole milk,2014,1,10,4
3119,2014-01-10,whole milk,2014,1,10,4
1694,2014-01-10,dessert,2014,1,10,4
4749,2014-01-10,dessert,2014,1,10,4
3617,2014-01-10,candy,2014,1,10,4
1664,2014-01-10,misc. beverages,2014,1,10,4
3709,2014-01-10,syrup,2014,1,10,4
4797,2014-01-10,white wine,2014,1,10,4
2232,2014-01-10,beef,2014,1,10,4
2453,2014-01-10,salty snack,2014,1,10,4
4234,2014-01-10,berries,2014,1,10,4
3462,2014-01-10,citrus fruit,2014,1,10,4
1235,2014-01-11,bottled water,2014,1,11,5
2499,2014-01-11,beverages,2014,1,11,5
1148,2014-01-11,other vegetables,2014,1,11,5
4066,2014-01-11,chewing gum,2014,1,11,5
1889,2014-01-11,soups,2014,1,11,5
1307,2014-01-11,rolls/buns,2014,1,11,5
1130,2014-01-11,margarine,2014,1,11,5
1130,2014-01-11,soda,2014,1,11,5
2499,2014-01-11,ice cream,2014,1,11,5
2428,2014-01-11,semi-finished bread,2014,1,11,5
2499,2014-01-11,shopping bags,2014,1,11,5
1235,2014-01-11,soda,2014,1,11,5
4510,2014-01-11,cream cheese ,2014,1,11,5
1167,2014-01-11,other vegetables,2014,1,11,5
4510,2014-01-11,whole milk,2014,1,11,5
1169,2014-01-11,detergent,2014,1,11,5
1209,2014-01-11,sausage,2014,1,11,5
2391,2014-01-11,misc. beverages,2014,1,11,5
1981,2014-01-11,fruit/vegetable juice,2014,1,11,5
1868,2014-01-11,whole milk,2014,1,11,5
2428,2014-01-11,other vegetables,2014,1,11,5
2391,2014-01-11,whole milk,2014,1,11,5
1169,2014-01-11,soda,2014,1,11,5
1167,2014-01-11,rolls/buns,2014,1,11,5
1307,2014-01-11,other vegetables,2014,1,11,5
1981,2014-01-11,whole milk,2014,1,11,5
1148,2014-01-11,soda,2014,1,11,5
4066,2014-01-11,fruit/vegetable juice,2014,1,11,5
1889,2014-01-11,whole milk,2014,1,11,5
1209,2014-01-11,dessert,2014,1,11,5
1868,2014-01-11,yogurt,2014,1,11,5
2428,2014-01-11,domestic eggs,2014,1,11,5
2499,2014-01-11,other vegetables,2014,1,11,5
4814,2014-01-12,bottled beer,2014,1,12,6
2239,2014-01-12,yogurt,2014,1,12,6
4753,2014-01-12,white wine,2014,1,12,6
2242,2014-01-12,butter,2014,1,12,6
3031,2014-01-12,specialty bar,2014,1,12,6
2560,2014-01-12,other vegetables,2014,1,12,6
3837,2014-01-12,bottled water,2014,1,12,6
1964,2014-01-12,brown bread,2014,1,12,6
1743,2014-01-12,specialty bar,2014,1,12,6
2766,2014-01-12,long life bakery product,2014,1,12,6
2668,2014-01-12,other vegetables,2014,1,12,6
4020,2014-01-12,frozen potato products,2014,1,12,6
4814,2014-01-12,other vegetables,2014,1,12,6
1369,2014-01-12,sugar,2014,1,12,6
1813,2014-01-12,brown bread,2014,1,12,6
3837,2014-01-12,hard cheese,2014,1,12,6
1369,2014-01-12,flour,2014,1,12,6
4453,2014-01-12,oil,2014,1,12,6
1813,2014-01-12,chocolate,2014,1,12,6
1743,2014-01-12,whipped/sour cream,2014,1,12,6
4426,2014-01-12,pip fruit,2014,1,12,6
4614,2014-01-12,newspapers,2014,1,12,6
3493,2014-01-12,beef,2014,1,12,6
4426,2014-01-12,berries,2014,1,12,6
4614,2014-01-12,sausage,2014,1,12,6
1813,2014-01-12,meat,2014,1,12,6
2239,2014-01-12,curd,2014,1,12,6
4753,2014-01-12,whole milk,2014,1,12,6
